date,price,open_price,high_price,low_price,fluctuation
1/8/2017,"22,715.00","22,727.00","22,754.00","22,708.50",-0.05%
1/7/2017,"22,726.00","22,735.00","22,774.00","22,707.50",0.11%
1/6/2017,"22,700.00","22,700.00","22,790.00","22,667.00",-0.04%
1/5/2017,"22,710.00","22,750.00","22,782.00","22,620.00",-0.13%
1/4/2017,"22,740.00","22,761.00","22,825.00","22,620.00",-0.04%
1/3/2017,"22,750.00","22,785.00","22,860.00","22,713.50",0.00%
1/2/2017,"22,750.00","22,572.50","22,862.50","22,550.00",0.71%
1/1/2017,"22,590.00","22,760.00","22,785.00","22,520.00",-0.79%
1/12/2016,"22,770.00","22,692.50","22,794.00","22,570.00",0.57%
1/11/2016,"22,640.00","22,323.00","22,780.00","22,289.00",1.60%
1/10/2016,"22,284.00","22,304.50","22,356.00","22,274.50",0.01%
1/9/2016,"22,281.00","22,302.00","22,351.00","22,263.00",-0.09%
1/8/2016,"22,300.00","22,295.00","22,337.00","22,255.00",0.12%
1/7/2016,"22,273.00","22,304.00","22,346.00","22,268.00",-0.04%
1/6/2016,"22,281.00","22,428.00","22,475.50","22,278.50",-0.38%
1/5/2016,"22,366.00","22,295.00","22,437.50","22,256.00",0.55%
1/4/2016,"22,244.00","22,291.50","22,365.50","22,258.00",-0.09%
1/3/2016,"22,264.00","22,302.50","22,399.50","22,254.50",-0.06%
1/2/2016,"22,277.00","22,230.00","22,421.50","22,204.50",0.36%
1/1/2016,"22,198.00","22,490.00","22,525.50","22,200.50",-1.25%
1/12/2015,"22,480.00","22,502.50","22,580.00","22,431.50",0.05%
1/11/2015,"22,468.00","22,316.50","22,528.50","22,287.50",0.71%
1/10/2015,"22,309.00","22,477.50","22,526.50","22,125.00",-0.72%
1/9/2015,"22,471.00","22,478.50","22,555.50","22,443.50",-0.04%
1/8/2015,"22,480.00","21,816.50","22,573.00","21,791.00",3.06%
1/7/2015,"21,813.00","21,812.00","21,855.00","21,758.00",0.05%
1/6/2015,"21,802.00","21,810.00","21,849.00","21,730.00",0.08%
1/5/2015,"21,785.00","21,590.00","21,852.50","21,570.00",1.09%
1/4/2015,"21,550.00","21,555.00","21,640.00","21,520.00",0.14%
1/3/2015,"21,520.00","21,355.00","21,567.50","21,314.50",0.94%
1/2/2015,"21,320.00","21,340.00","21,413.50","21,164.00",0.25%
1/1/2015,"21,267.00","21,387.50","21,525.00","21,279.00",-0.48%
1/12/2014,"21,370.00","21,397.50","21,435.00","21,318.00",0.33%
1/11/2014,"21,300.00","21,280.00","21,431.50","21,215.00",0.21%
1/10/2014,"21,255.00","21,220.00","21,307.50","21,192.50",0.31%
1/9/2014,"21,190.00","21,195.00","21,240.00","21,170.00",0.09%
1/8/2014,"21,170.00","21,230.00","21,246.00","21,172.50",-0.14%
,,,,,
